miner_with_layout
-------------------------------------
Wed Jul  2 10:37:18 2014    statsfile

         68392167 function calls (67604268 primitive calls) in 74.971 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/__init__.py:71(search_function)
    81834    0.059    0.000    0.071    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:131(keyword_name)
      262    0.000    0.000    0.001    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:401(do_Q)
 11324349    3.686    0.000    3.686    0.000 {isinstance}
     1100    0.002    0.000    0.516    0.000 /Library/Python/2.7/site-packages/pdfminer/pdftypes.py:60(resolve)
      468    0.002    0.000    0.002    0.000 /Library/Python/2.7/site-packages/pdfminer/utils.py:247(__init__)
        1    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/cmapdb.py:95(is_vertical)
       36    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:80(__init__)
      234    0.001    0.000    0.001    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:140(get_procset)
      234    0.034    0.000   23.506    0.100 /Library/Python/2.7/site-packages/pdfminer/layout.py:641(analyze)
   703524    0.826    0.000    0.826    0.000 {method 'encode' of 'unicode' objects}
14739/234    0.383    0.000    0.603    0.003 /Library/Python/2.7/site-packages/pdfminer/layout.py:286(analyze)
      496    0.002    0.000    0.002    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:49(__init__)
      234    0.001    0.000    0.003    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:471(__init__)
      121    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:58(__init__)
   703130    0.113    0.000    0.113    0.000 /Library/Python/2.7/site-packages/pdfminer/pdffont.py:513(char_disp)
    17437    0.019    0.000    0.036    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:636(do_BT)
   725151    1.090    0.000    2.866    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:75(__init__)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/utf_16_be.py:8(<module>)
   986026    0.742    0.000    1.392    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:318(_add_token)
  3063303    0.807    0.000    0.807    0.000 {max}
   950598    0.565    0.000    0.813    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:511(push)
      492    0.003    0.000    0.507    0.001 /Library/Python/2.7/site-packages/pdfminer/pdfdocument.py:438(_getobj_parse)
      236    0.001    0.000    0.001    0.000 {cStringIO.StringIO}
    17744    0.099    0.000   20.619    0.001 /Library/Python/2.7/site-packages/pdfminer/pdfdevice.py:63(render_string)
     5312    0.020    0.000    0.044    0.000 {sorted}
     2539    0.005    0.000    0.082    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:439(__init__)
  703/235    0.003    0.000    0.322    0.001 /Library/Python/2.7/site-packages/pdfminer/pdfpage.py:77(search)
        1    0.000    0.000    0.046    0.046 /Library/Python/2.7/site-packages/pdfminer/pdfdocument.py:567(read_xref_from)
      236    0.001    0.000    0.001    0.000 /Library/Python/2.7/site-packages/pdfminer/pdftypes.py:214(get_filters)
  1242103    1.036    0.000    1.036    0.000 {method 'pop' of 'list' objects}
      262    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:551(do_W_a)
        4    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:564(do_cs)
        1    0.000    0.000   74.971   74.971 main.py:17(miner_with_layout)
        3    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/cmapdb.py:174(set_attr)
    14933    0.011    0.000    0.011    0.000 /Library/Python/2.7/site-packages/pdfminer/pdftypes.py:48(__init__)
   106316    0.368    0.000    0.742    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:393(_parse_keyword)
        1    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:309(__init__)
    35495    0.108    0.000    0.224    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:334(_parse_literal)
   777673    0.126    0.000    0.126    0.000 {method 'isdigit' of 'str' objects}
    37806    0.150    0.000    0.242    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:379(_parse_float)
    14505    0.011    0.000    0.024    0.000 /Library/Python/2.7/site-packages/pdfminer/utils.py:102(<lambda>)
     3788    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      234    0.649    0.003    0.653    0.003 /Library/Python/2.7/site-packages/pdfminer/converter.py:23(begin_page)
